action_name,timestamp
admin has logged in,2021.04.29.17.16.33
admin has added a new theater play: Teatru1,2021.04.29.17.17.44
admin has added a new ticket for Teatru1,2021.04.29.17.18.30
admin has logged out,2021.04.29.17.22.07
calin has logged in,2021.04.29.17.22.12
calin has added $20.0 to their balance,2021.04.29.17.22.16
calin has bought a ticket for Teatru1,2021.04.29.17.22.45
calin has logged out,2021.04.29.17.22.55
admin has logged in,2021.04.29.17.23.01
admin has logged out,2021.04.29.17.23.17
admin has logged in,2021.05.24.19.50.38
admin has added a new concert: ConcertTest,2021.05.24.19.51.38
admin has logged out,2021.05.24.19.52.29
